year,river,numSuitablePatches,numRejuvPatches,numPopPatches,numFertilePop,avgPatchAge,avgPopAge,populated,turned,turned_suitable,turned_unsuitable,sddEvents,lddEvents
13,16,59,14,34,27,29.152542372881356,15.617647058823529,1,1,1,0,3,2
13,17,48,12,20,14,28.125,12.3,1,3,2,1,2,4
13,18,47,7,18,15,24.361702127659573,13.277777777777779,1,4,2,2,1,2
13,19,54,9,22,20,28.90740740740741,15.0,1,3,2,1,2,2
13,20,52,12,20,16,27.076923076923077,12.3,1,7,2,5,2,4
14,1,62,18,33,21,28.306451612903224,11.636363636363637,1,6,3,3,5,8
14,2,56,13,26,19,23.964285714285715,10.884615384615385,1,3,2,1,2,6
14,3,56,7,23,19,29.732142857142858,15.434782608695652,1,5,2,3,1,2
14,4,51,8,33,28,27.352941176470587,12.272727272727273,1,4,0,4,1,2
14,5,56,10,24,20,26.75,12.583333333333334,1,1,0,1,0,2
14,6,54,10,14,12,31.574074074074073,15.428571428571429,1,4,1,3,2,1
14,7,54,7,25,21,26.75925925925926,11.0,1,6,4,2,2,4
14,8,50,11,28,23,17.32,10.285714285714286,1,5,1,4,1,2
14,9,55,11,23,20,27.490909090909092,17.26086956521739,1,2,1,1,1,3
14,10,63,18,23,17,23.46031746031746,13.782608695652174,1,2,0,2,2,3
14,11,55,13,27,22,27.254545454545454,12.222222222222221,1,6,1,5,1,4
14,12,55,10,32,30,27.963636363636365,11.875,1,8,2,6,2,3
14,13,54,9,25,21,29.75925925925926,15.16,1,2,0,2,1,0
14,14,59,14,32,27,26.271186440677965,11.53125,1,3,2,1,3,3
14,15,50,12,16,14,29.58,14.125,1,5,2,3,1,1
14,16,60,11,35,31,29.666666666666668,16.085714285714285,1,4,1,3,1,6
14,17,49,12,21,17,28.102040816326532,12.571428571428571,1,3,2,1,1,4
14,18,47,7,17,15,25.19148936170213,14.705882352941176,1,1,1,0,3,2
14,19,55,9,23,19,29.327272727272728,15.217391304347826,1,6,1,5,0,2
14,20,49,11,21,16,27.571428571428573,12.380952380952381,1,6,2,4,2,3
15,1,62,20,35,27,28.56451612903226,11.257142857142858,1,2,1,1,8,7
15,2,57,10,27,22,24.45614035087719,11.37037037037037,1,6,4,2,1,4
15,3,55,6,21,19,30.78181818181818,16.857142857142858,1,3,2,1,1,2
15,4,47,5,30,28,29.25531914893617,14.0,1,10,4,6,1,1
15,5,55,5,24,21,26.763636363636362,13.375,1,3,1,2,0,0
15,6,52,8,14,12,31.884615384615383,16.214285714285715,1,1,0,1,1,2
15,7,56,11,27,23,25.178571428571427,10.407407407407407,1,8,3,5,2,2
15,8,47,10,27,25,18.319148936170212,11.444444444444445,1,3,1,2,4,2
15,9,55,7,23,20,28.272727272727273,18.0,1,8,5,3,0,2
15,10,61,15,23,19,24.75409836065574,14.565217391304348,1,4,0,4,3,4
